filename,genre,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,N/A,News,Reality-TV,Romance,Sci-Fi,Short,Sport,Thriller,War,Western,imdb_link
tt0086425.jpg,Comedy,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.imdb.com/title/tt0086425
tt0088680.jpg,Drama,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,https://www.imdb.com/title/tt0088680
tt0086465.jpg,Comedy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.imdb.com/title/tt0086465
tt0086567.jpg,Sci-Fi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,https://www.imdb.com/title/tt0086567
tt0086034.jpg,Action,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,https://www.imdb.com/title/tt0086034
tt0086383.jpg,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,https://www.imdb.com/title/tt0086383
tt0086361.jpg,Drama,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,https://www.imdb.com/title/tt0086361
tt0085970.jpg,Comedy,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.imdb.com/title/tt0085970
tt0086200.jpg,Comedy,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.imdb.com/title/tt0086200
tt0085995.jpg,Adventure,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.imdb.com/title/tt0085995
tt0086393.jpg,Action,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,https://www.imdb.com/title/tt0086393
tt0085244.jpg,Comedy,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.imdb.com/title/tt0085244
tt0086006.jpg,Action,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,https://www.imdb.com/title/tt0086006
tt0085750.jpg,Horror,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.imdb.com/title/tt0085750
tt0085255.jpg,Action,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.imdb.com/title/tt0085255
